Checking_Amt,Duration,Credit_History,Purpose,Credit_Amt,Savings_Amt,Employement,Installment_Rate,Personal_status, debtors/guarantors,Residence,Property,Age,Install_plans,Housing,No.of_credits,Job_type,No.of_people,Telephone,Foreigner,Credit_Risk
Moderate,12,existing credits paid back duly,car (new),7472,NA,Unemployed,1,female,none,2,real estate,24,none,Rent,1,unemployed,1,None,Yes,1
little,36,existing credits paid back duly,car (new),9271,little,Expert,2,male,none,1,car or other,24,none,Own,1,skilled employee,1,Yes,Yes,2
Moderate,6,existing credits paid back duly,radio/television,590,little,amateur,3,male,none,3,real estate,26,none,Own,1,unskilled,1,None,No,1
NA,12,critical account,radio/television,930,NA,Master,4,male,none,4,real estate,65,none,Own,4,skilled employee,1,None,Yes,1
Moderate,42,all credits paid back duly,car (used),9283,little,Unemployed,1,male,none,2, unknown / no property,55,bank,For Free,1,qualified employee,1,Yes,Yes,1
Moderate,15,no credits taken,car (new),1778,little,amateur,2,female,none,1,real estate,26,none,Rent,2,unemployed,1,None,Yes,2
Moderate,8,existing credits paid back duly,business,907,little,amateur,3,male,none,2,real estate,26,none,Own,1,skilled employee,1,Yes,Yes,1
Moderate,6,existing credits paid back duly,radio/television,484,little,Expert,3,male,guarantor,3,real estate,28,bank,Own,1,unskilled,1,None,Yes,1
little,36,critical account,car (used),9629,little,Expert,4,male,none,4,car or other,24,none,Own,2,skilled employee,1,Yes,Yes,2
little,48,existing credits paid back duly,domestic appliances,3051,little,Professional,3,male,none,4,car or other,54,none,Own,1,skilled employee,1,None,Yes,2
little,48,existing credits paid back duly,car (new),3931,little,Expert,4,male,none,4, unknown / no property,46,none,For Free,1,skilled employee,2,None,Yes,2
Moderate,36,delay in paying off in the past,car (new),7432,little,Professional,2,female,none,2,building society savings agreement/ life insurance,54,none,Rent,1,skilled employee,1,None,Yes,1
NA,6,existing credits paid back duly,domestic appliances,1338,Quite Rich,Professional,1,male,none,4,real estate,62,none,Own,1,skilled employee,1,None,Yes,1
NA,6,critical account,radio/television,1554,little,Expert,1,female,none,2,car or other,24,none,Rent,2,skilled employee,1,Yes,Yes,1
little,36,existing credits paid back duly,Others,15857,little,Unemployed,2,male, co-applicant,3,car or other,43,none,Own,1,qualified employee,1,None,Yes,1
little,18,existing credits paid back duly,radio/television,1345,little,Professional,4,male,none,3,real estate,26,bank,Own,1,skilled employee,1,None,Yes,2
NA,12,existing credits paid back duly,car (new),1101,little,Professional,3,male,none,2,real estate,27,none,Own,2,skilled employee,1,Yes,Yes,1
Rich,12,existing credits paid back duly,radio/television,3016,little,Professional,3,male,none,1,car or other,24,none,Own,1,skilled employee,1,None,Yes,1
little,36,existing credits paid back duly,furniture/equipment,2712,little,Master,2,male,none,2,building society savings agreement/ life insurance,41,bank,Own,1,skilled employee,2,None,Yes,2
little,8,critical account,car (new),731,little,Master,4,male,none,4,real estate,47,none,Own,2,unskilled,1,None,Yes,1
NA,18,critical account,furniture/equipment,3780,little,amateur,3,male,none,2,car or other,35,none,Own,2,qualified employee,1,Yes,Yes,1
little,21,critical account,car (new),1602,little,Master,4,male,none,3,car or other,30,none,Own,2,skilled employee,1,Yes,Yes,1
little,18,critical account,car (new),3966,little,Master,1,female,none,4,real estate,33,bank,Rent,3,skilled employee,1,Yes,Yes,2
NA,18,no credits taken,business,4165,little,Professional,2,male,none,2,car or other,36,stores,Own,2,skilled employee,2,None,Yes,2
little,36,existing credits paid back duly,car (used),8335,NA,Master,3,male,none,4, unknown / no property,47,none,For Free,1,skilled employee,1,None,Yes,2
Moderate,48,delay in paying off in the past,business,6681,NA,Professional,4,male,none,4, unknown / no property,38,none,For Free,1,skilled employee,2,Yes,Yes,1
NA,24,delay in paying off in the past,business,2375,Quite Rich,Professional,4,male,none,2,car or other,44,none,Own,2,skilled employee,2,Yes,Yes,1
little,18,existing credits paid back duly,car (new),1216,little,amateur,4,female,none,3,car or other,23,none,Rent,1,skilled employee,1,Yes,Yes,2
little,45,no credits taken,business,11816,little,Master,2,male,none,4,car or other,29,none,Rent,2,skilled employee,1,None,Yes,2
Moderate,24,existing credits paid back duly,radio/television,5084,NA,Master,2,female,none,4,car or other,42,none,Own,1,skilled employee,1,Yes,Yes,1
Rich,15,existing credits paid back duly,radio/television,2327,little,amateur,2,female,none,3,real estate,25,none,Own,1,unskilled,1,None,Yes,2
little,12,no credits taken,car (new),1082,little,Professional,4,male,none,4,car or other,48,bank,Own,2,skilled employee,1,None,Yes,2
NA,12,existing credits paid back duly,radio/television,886,NA,Professional,4,female,none,2,car or other,21,none,Own,1,skilled employee,1,None,Yes,1
NA,4,existing credits paid back duly,furniture/equipment,601,little,amateur,1,female,none,3,real estate,23,none,Rent,1,unskilled,2,None,Yes,1
little,24,critical account,car (used),2957,little,Master,4,male,none,4,building society savings agreement/ life insurance,63,none,Own,2,skilled employee,1,Yes,Yes,1
NA,24,critical account,radio/television,2611,little,Master,4,male, co-applicant,3,real estate,46,none,Own,2,skilled employee,1,None,Yes,1
little,36,existing credits paid back duly,furniture/equipment,5179,little,Expert,4,male,none,2,building society savings agreement/ life insurance,29,none,Own,1,skilled employee,1,None,Yes,2
NA,21,delay in paying off in the past,car (used),2993,little,Professional,3,male,none,2,real estate,28,stores,Own,2,unskilled,1,None,Yes,1
NA,18,existing credits paid back duly,repairs,1943,little,amateur,4,female,none,4,real estate,23,none,Own,1,skilled employee,1,None,Yes,2
NA,24,all credits paid back duly,business,1559,little,Expert,4,male,none,4,car or other,50,bank,Own,1,skilled employee,1,Yes,Yes,1
NA,18,existing credits paid back duly,furniture/equipment,3422,little,Master,4,male,none,4,building society savings agreement/ life insurance,47,bank,Own,3,skilled employee,2,Yes,Yes,1
Moderate,21,existing credits paid back duly,furniture/equipment,3976,NA,Expert,2,male,none,3,car or other,35,none,Own,1,skilled employee,1,Yes,Yes,1
NA,18,existing credits paid back duly,car (new),6761,NA,Professional,2,male,none,4,car or other,68,none,Rent,2,skilled employee,1,None,Yes,2
NA,24,existing credits paid back duly,car (new),1249,little,amateur,4,male,none,2,real estate,28,none,Own,1,skilled employee,1,None,Yes,1
little,9,existing credits paid back duly,radio/television,1364,little,Expert,3,male,none,4,real estate,59,none,Own,1,skilled employee,1,None,Yes,1
little,12,existing credits paid back duly,radio/television,709,little,Master,4,male,none,4,real estate,57,stores,Own,1,unskilled,1,None,Yes,2
little,20,critical account,car (new),2235,little,Professional,4,male,guarantor,2,building society savings agreement/ life insurance,33,bank,Rent,2,skilled employee,1,None,No,2
NA,24,critical account,car (used),4042,NA,Expert,3,male,none,4,building society savings agreement/ life insurance,43,none,Own,2,skilled employee,1,Yes,Yes,1
NA,15,critical account,radio/television,1471,little,Professional,4,male,none,4, unknown / no property,35,none,For Free,2,skilled employee,1,Yes,Yes,1
little,18,all credits paid back duly,car (new),1442,little,Expert,4,male,none,4, unknown / no property,32,none,For Free,2,unskilled,2,None,Yes,2
NA,36,delay in paying off in the past,car (new),10875,little,Master,2,male,none,2,car or other,45,none,Own,2,skilled employee,2,Yes,Yes,1
NA,24,existing credits paid back duly,car (new),1474,Moderate,amateur,4,male,none,3,real estate,33,none,Own,1,skilled employee,1,Yes,Yes,1
NA,10,existing credits paid back duly,retraining,894,NA,Expert,4,female,none,3,building society savings agreement/ life insurance,40,none,Own,1,skilled employee,1,Yes,Yes,1
NA,15,critical account,furniture/equipment,3343,little,Professional,4,male,none,2, unknown / no property,28,none,For Free,1,skilled employee,1,Yes,Yes,1
little,15,existing credits paid back duly,car (new),3959,little,Professional,3,female,none,2,building society savings agreement/ life insurance,29,none,Own,1,skilled employee,1,Yes,Yes,2
NA,9,existing credits paid back duly,car (new),3577,Moderate,Professional,1,male,guarantor,2,real estate,26,none,Rent,1,skilled employee,2,None,No,1
NA,24,critical account,car (used),5804,Rich,Professional,4,male,none,2,real estate,27,none,Own,2,skilled employee,1,None,Yes,1
NA,18,delay in paying off in the past,business,2169,little,Professional,4,male,none,2,car or other,28,none,Own,1,skilled employee,1,Yes,Yes,2
little,24,existing credits paid back duly,radio/television,2439,little,amateur,4,female,none,4,real estate,35,none,Own,1,skilled employee,1,Yes,Yes,2
NA,27,critical account,furniture/equipment,4526,Rich,amateur,4,male,none,2,real estate,32,stores,Own,2,unskilled,2,Yes,Yes,1
NA,10,existing credits paid back duly,furniture/equipment,2210,little,Professional,2,male,none,2,real estate,25,bank,Rent,1,unskilled,1,None,Yes,2
NA,15,existing credits paid back duly,furniture/equipment,2221,Quite Rich,Professional,2,female,none,4,car or other,20,none,Rent,1,skilled employee,1,None,Yes,1
little,18,existing credits paid back duly,radio/television,2389,little,amateur,4,female,none,1,car or other,27,stores,Own,1,skilled employee,1,None,Yes,1
NA,12,critical account,furniture/equipment,3331,little,Master,2,male,none,4,building society savings agreement/ life insurance,42,stores,Own,1,skilled employee,1,None,Yes,1
NA,36,existing credits paid back duly,business,7409,NA,Master,3,male,none,2,building society savings agreement/ life insurance,37,none,Own,2,skilled employee,1,None,Yes,1
little,12,existing credits paid back duly,furniture/equipment,652,little,Master,4,female,none,4,building society savings agreement/ life insurance,24,none,Rent,1,skilled employee,1,None,Yes,1
NA,36,delay in paying off in the past,furniture/equipment,7678,Quite Rich,Expert,2,female,none,4,car or other,40,none,Own,2,skilled employee,1,Yes,Yes,1
Rich,6,critical account,car (new),1343,little,Master,1,male,none,4,real estate,46,none,Own,2,skilled employee,2,None,No,1
little,24,critical account,business,1382,Moderate,Expert,4,male,none,1,real estate,26,none,Own,2,skilled employee,1,Yes,Yes,1
NA,15,existing credits paid back duly,domestic appliances,874,NA,amateur,4,female,none,1,real estate,24,none,Own,1,skilled employee,1,None,Yes,1
little,12,existing credits paid back duly,furniture/equipment,3590,little,Professional,2,male, co-applicant,2,building society savings agreement/ life insurance,29,none,Own,1,unskilled,2,None,Yes,1
Moderate,11,critical account,car (new),1322,Rich,Professional,4,female,none,4,car or other,40,none,Own,2,skilled employee,1,None,Yes,1
little,18,all credits paid back duly,radio/television,1940,little,amateur,3,male, co-applicant,4, unknown / no property,36,bank,For Free,1,qualified employee,1,Yes,Yes,1
NA,36,existing credits paid back duly,radio/television,3595,little,Master,4,male,none,2,car or other,28,none,Own,1,skilled employee,1,None,Yes,1
little,9,existing credits paid back duly,car (new),1422,little,amateur,3,male,none,2, unknown / no property,27,none,For Free,1,qualified employee,1,Yes,Yes,2
NA,30,critical account,radio/television,6742,NA,Expert,2,male,none,3,building society savings agreement/ life insurance,36,none,Own,2,skilled employee,1,None,Yes,1
NA,24,existing credits paid back duly,car (used),7814,little,Expert,3,male,none,3,car or other,38,none,Own,1,qualified employee,1,Yes,Yes,1
NA,24,existing credits paid back duly,car (used),9277,NA,Professional,2,male,none,4, unknown / no property,48,none,For Free,1,skilled employee,1,Yes,Yes,1
Moderate,30,critical account,car (new),2181,NA,Master,4,male,none,4,real estate,36,none,Own,2,skilled employee,1,None,Yes,1
NA,18,critical account,radio/television,1098,little,Unemployed,4,female,none,4,car or other,65,none,Own,2,unemployed,1,None,Yes,1
Moderate,24,existing credits paid back duly,furniture/equipment,4057,little,Expert,3,male,none,3,car or other,43,none,Own,1,skilled employee,1,Yes,Yes,2
little,12,existing credits paid back duly,education,795,little,amateur,4,female,none,4,building society savings agreement/ life insurance,53,none,Own,1,skilled employee,1,None,Yes,2
Moderate,24,critical account,business,2825,NA,Expert,4,male,none,3, unknown / no property,34,none,Own,2,skilled employee,2,Yes,Yes,1
Moderate,48,existing credits paid back duly,business,15672,little,Professional,2,male,none,2,car or other,23,none,Own,1,skilled employee,1,Yes,Yes,2
NA,36,critical account,car (new),6614,little,Master,4,male,none,4,car or other,34,none,Own,2,qualified employee,1,Yes,Yes,1
NA,28,all credits paid back duly,car (used),7824,NA,amateur,3,male,guarantor,4,real estate,40,bank,Rent,2,skilled employee,2,Yes,Yes,1
little,27,critical account,business,2442,little,Master,4,male,none,4,car or other,43,stores,Own,4,qualified employee,2,Yes,Yes,1
NA,15,critical account,radio/television,1829,little,Master,4,male,none,4,car or other,46,none,Own,2,skilled employee,1,Yes,Yes,1
little,12,critical account,car (new),2171,little,Professional,4,male,none,4,building society savings agreement/ life insurance,38,bank,Own,2,unskilled,1,None,No,1
Moderate,36,critical account,car (used),5800,little,Professional,3,male,none,4,car or other,34,none,Own,2,skilled employee,1,Yes,Yes,1
NA,18,critical account,radio/television,1169,NA,Professional,4,male,none,3,building society savings agreement/ life insurance,29,none,Own,2,skilled employee,1,Yes,Yes,1
NA,36,delay in paying off in the past,car (used),8947,NA,Expert,3,male,none,2,car or other,31,stores,Own,1,qualified employee,2,Yes,Yes,1
little,21,existing credits paid back duly,radio/television,2606,little,amateur,4,female,none,4,building society savings agreement/ life insurance,28,none,Rent,1,qualified employee,1,Yes,Yes,1
NA,12,critical account,furniture/equipment,1592,Rich,Expert,3,female,none,2,building society savings agreement/ life insurance,35,none,Own,1,skilled employee,1,None,No,1
NA,15,existing credits paid back duly,furniture/equipment,2186,NA,Expert,1,female,none,4,real estate,33,bank,Rent,1,unskilled,1,None,Yes,1
little,18,existing credits paid back duly,furniture/equipment,4153,little,Professional,2,male, co-applicant,3,car or other,42,none,Own,1,skilled employee,1,None,Yes,2
little,16,critical account,car (new),2625,little,Master,2,male,guarantor,4,building society savings agreement/ life insurance,43,bank,Rent,1,skilled employee,1,Yes,Yes,2
NA,20,critical account,car (new),3485,NA,amateur,2,male,none,4,real estate,44,none,Own,2,skilled employee,1,Yes,Yes,1
NA,36,critical account,car (used),10477,NA,Master,2,male,none,4, unknown / no property,42,none,For Free,2,skilled employee,1,None,Yes,1
NA,15,existing credits paid back duly,radio/television,1386,NA,Professional,4,male,none,2,real estate,40,none,Rent,1,skilled employee,1,Yes,Yes,1
NA,24,existing credits paid back duly,radio/television,1278,little,Master,4,male,none,1,real estate,36,none,Own,1,qualified employee,1,Yes,Yes,1
little,12,existing credits paid back duly,radio/television,1107,little,Professional,2,male,none,2,real estate,20,none,Rent,1,qualified employee,2,Yes,Yes,1
little,21,existing credits paid back duly,car (new),3763,NA,Expert,2,male, co-applicant,2,real estate,24,none,Own,1,unskilled,1,None,No,1
Moderate,36,existing credits paid back duly,education,3711,NA,Professional,2,male,none,2,car or other,27,none,Own,1,skilled employee,1,None,Yes,1
NA,15,delay in paying off in the past,car (used),3594,little,amateur,1,female,none,2,building society savings agreement/ life insurance,46,none,Own,2,unskilled,1,None,Yes,1
Moderate,9,existing credits paid back duly,car (new),3195,NA,Professional,1,female,none,2,real estate,33,none,Own,1,unskilled,1,None,Yes,1
NA,36,delay in paying off in the past,radio/television,4454,little,Professional,4,female,none,4,real estate,34,none,Own,2,skilled employee,1,None,Yes,1
Moderate,24,critical account,furniture/equipment,4736,little,amateur,2,female,none,4,car or other,25,bank,Own,1,unskilled,1,None,Yes,2
Moderate,30,existing credits paid back duly,radio/television,2991,NA,Master,2,female,none,4,car or other,25,none,Own,1,skilled employee,1,None,Yes,1
NA,11,existing credits paid back duly,business,2142,Rich,Master,1,male,none,2,real estate,28,none,Own,1,skilled employee,1,Yes,Yes,1
little,24,all credits paid back duly,business,3161,little,Professional,4,male,none,2,building society savings agreement/ life insurance,31,none,Rent,1,skilled employee,1,Yes,Yes,2
Moderate,48,no credits taken,Others,18424,little,Professional,1,female,none,2,building society savings agreement/ life insurance,32,bank,Own,1,qualified employee,1,Yes,No,2
NA,10,existing credits paid back duly,car (used),2848,Moderate,Professional,1,male, co-applicant,2,real estate,32,none,Own,1,skilled employee,2,None,Yes,1
little,6,existing credits paid back duly,car (new),14896,little,Master,1,male,none,4, unknown / no property,68,bank,Own,1,qualified employee,1,Yes,Yes,2
little,24,existing credits paid back duly,furniture/equipment,2359,Moderate,Unemployed,1,male,none,1,building society savings agreement/ life insurance,33,none,Own,1,skilled employee,1,None,Yes,2
little,24,existing credits paid back duly,furniture/equipment,3345,little,Master,4,male,none,2,building society savings agreement/ life insurance,39,none,Rent,1,qualified employee,1,Yes,Yes,2
NA,18,critical account,furniture/equipment,1817,little,Professional,4,female,none,2, unknown / no property,28,none,Own,2,skilled employee,1,None,Yes,1
NA,48,delay in paying off in the past,radio/television,12749,Quite Rich,Expert,4,male,none,1,car or other,37,none,Own,1,qualified employee,1,Yes,Yes,1
little,9,existing credits paid back duly,radio/television,1366,little,amateur,3,female,none,4,building society savings agreement/ life insurance,22,none,Rent,1,skilled employee,1,None,Yes,2
Moderate,12,existing credits paid back duly,car (new),2002,little,Expert,3,male,none,4,building society savings agreement/ life insurance,30,none,Rent,1,skilled employee,2,Yes,Yes,1
little,24,all credits paid back duly,furniture/equipment,6872,little,amateur,2,male,none,1,building society savings agreement/ life insurance,55,bank,Own,1,skilled employee,1,Yes,Yes,2
little,12,all credits paid back duly,car (new),697,little,amateur,4,male,none,2,car or other,46,bank,Own,2,skilled employee,1,Yes,Yes,2
little,18,critical account,furniture/equipment,1049,little,amateur,4,female,none,4,building society savings agreement/ life insurance,21,none,Rent,1,skilled employee,1,None,Yes,1
little,48,existing credits paid back duly,car (used),10297,little,Expert,4,male,none,4, unknown / no property,39,stores,For Free,3,skilled employee,2,Yes,Yes,2
NA,30,existing credits paid back duly,radio/television,1867,NA,Master,4,male,none,4,car or other,58,none,Own,1,skilled employee,1,Yes,Yes,1
little,12,delay in paying off in the past,car (new),1344,little,Professional,4,male,none,2,real estate,43,none,Own,2,unskilled,2,None,Yes,1
little,24,existing credits paid back duly,furniture/equipment,1747,little,amateur,4,male, co-applicant,1,building society savings agreement/ life insurance,24,none,Own,1,unskilled,1,None,No,1
Moderate,9,existing credits paid back duly,radio/television,1670,little,amateur,4,female,none,2,car or other,22,none,Own,1,skilled employee,1,Yes,Yes,2
NA,9,critical account,car (new),1224,little,Professional,3,male,none,1,real estate,30,none,Own,2,skilled employee,1,None,Yes,1
NA,12,critical account,radio/television,522,Quite Rich,Master,4,male,none,4,building society savings agreement/ life insurance,42,none,Own,2,skilled employee,2,Yes,Yes,1
little,12,existing credits paid back duly,radio/television,1498,little,Professional,4,female,none,1,car or other,23,bank,Own,1,skilled employee,1,None,Yes,1
Moderate,30,delay in paying off in the past,radio/television,1919,Moderate,amateur,4,male,none,3, unknown / no property,30,stores,Own,2,qualified employee,1,None,Yes,2
Rich,9,existing credits paid back duly,radio/television,745,little,Professional,3,female,none,2,real estate,28,none,Own,1,unskilled,1,None,Yes,2
Moderate,6,existing credits paid back duly,radio/television,2063,little,amateur,4,male,none,3,car or other,30,none,Rent,1,qualified employee,1,Yes,Yes,1
Moderate,60,existing credits paid back duly,education,6288,little,Professional,4,male,none,4, unknown / no property,42,none,For Free,1,skilled employee,1,None,Yes,2
NA,24,critical account,car (used),6842,NA,Professional,2,male,none,4,building society savings agreement/ life insurance,46,none,Own,2,qualified employee,2,Yes,Yes,1
NA,12,existing credits paid back duly,car (new),3527,NA,amateur,2,male,none,3,building society savings agreement/ life insurance,45,none,Own,1,qualified employee,2,Yes,Yes,1
NA,10,existing credits paid back duly,car (new),1546,little,Professional,3,male,none,2,real estate,31,none,Own,1,unskilled,2,None,No,1
NA,24,existing credits paid back duly,furniture/equipment,929,NA,Expert,4,male,none,2,car or other,31,stores,Own,1,skilled employee,1,Yes,Yes,1
NA,4,critical account,car (new),1455,little,Expert,2,male,none,1,real estate,42,none,Own,3,unskilled,2,None,Yes,1
little,15,existing credits paid back duly,furniture/equipment,1845,little,amateur,4,female,guarantor,1,building society savings agreement/ life insurance,46,none,Rent,1,skilled employee,1,None,Yes,1
Moderate,48,no credits taken,car (new),8358,Quite Rich,amateur,1,female,none,1,car or other,30,none,Own,2,skilled employee,1,None,Yes,1
little,24,all credits paid back duly,furniture/equipment,3349,Quite Rich,amateur,4,male,none,4, unknown / no property,30,none,For Free,1,skilled employee,2,Yes,Yes,2
NA,12,existing credits paid back duly,car (new),2859,NA,Unemployed,4,male,none,4, unknown / no property,38,none,Own,1,qualified employee,1,Yes,Yes,1
NA,18,existing credits paid back duly,furniture/equipment,1533,little,amateur,4,male, co-applicant,1,building society savings agreement/ life insurance,43,none,Own,1,unskilled,2,None,Yes,2
NA,24,existing credits paid back duly,radio/television,3621,Moderate,Master,2,male,none,4,car or other,31,none,Own,2,skilled employee,1,None,Yes,2
Moderate,18,critical account,business,3590,little,Unemployed,3,male,none,3,car or other,40,none,Own,3,unemployed,2,Yes,Yes,1
little,36,delay in paying off in the past,business,2145,little,Expert,2,male,none,1,car or other,24,none,Own,2,skilled employee,1,Yes,Yes,2
Moderate,24,existing credits paid back duly,car (used),4113,Quite Rich,amateur,3,female,none,4,car or other,28,none,Rent,1,skilled employee,1,None,Yes,2
NA,36,existing credits paid back duly,furniture/equipment,10974,little,Unemployed,4,female,none,2,car or other,26,none,Own,2,qualified employee,1,Yes,Yes,2
little,12,existing credits paid back duly,car (new),1893,little,Professional,4,female,guarantor,4,building society savings agreement/ life insurance,29,none,Own,1,skilled employee,1,Yes,Yes,1
little,24,critical account,radio/television,1231,Rich,Master,4,female,none,4,building society savings agreement/ life insurance,57,none,Rent,2,qualified employee,1,Yes,Yes,1
Rich,30,critical account,radio/television,3656,NA,Master,4,male,none,4,building society savings agreement/ life insurance,49,stores,Own,2,unskilled,1,None,Yes,1
Moderate,9,critical account,radio/television,1154,little,Master,2,male,none,4,real estate,37,none,Own,3,unskilled,1,None,Yes,1
little,28,existing credits paid back duly,car (new),4006,little,Professional,3,male,none,2,car or other,45,none,Own,1,unskilled,1,None,Yes,2
Moderate,24,existing credits paid back duly,furniture/equipment,3069,Moderate,Master,4,male,none,4, unknown / no property,30,none,For Free,1,skilled employee,1,None,Yes,1
NA,6,critical account,radio/television,1740,little,Master,2,male,none,2,real estate,30,none,Rent,2,skilled employee,1,None,Yes,1
Moderate,21,delay in paying off in the past,car (new),2353,little,Professional,1,male,none,4,building society savings agreement/ life insurance,47,none,Own,2,skilled employee,1,None,Yes,1
NA,15,existing credits paid back duly,car (new),3556,NA,Professional,3,male,none,2, unknown / no property,29,none,Own,1,skilled employee,1,None,Yes,1
NA,24,existing credits paid back duly,radio/television,2397,Quite Rich,Master,3,male,none,2,car or other,35,bank,Own,2,skilled employee,1,Yes,Yes,2
Moderate,6,existing credits paid back duly,repairs,454,little,amateur,3,male,none,1,building society savings agreement/ life insurance,22,none,Own,1,unskilled,1,None,Yes,1
Moderate,30,existing credits paid back duly,radio/television,1715,NA,Professional,4,female,none,1,car or other,26,none,Own,1,skilled employee,1,None,Yes,1
Moderate,27,critical account,radio/television,2520,Quite Rich,Professional,4,male,none,2,building society savings agreement/ life insurance,23,none,Own,2,unskilled,1,None,Yes,2
NA,15,existing credits paid back duly,radio/television,3568,little,Master,4,female,none,2,car or other,54,bank,Rent,1,qualified employee,1,Yes,Yes,1
NA,42,existing credits paid back duly,radio/television,7166,NA,Expert,2,male,none,4,building society savings agreement/ life insurance,29,none,Rent,1,skilled employee,1,Yes,Yes,1
little,11,critical account,car (new),3939,little,Professional,1,male,none,2,real estate,40,none,Own,2,unskilled,2,None,Yes,1
Moderate,15,existing credits paid back duly,repairs,1514,Moderate,Professional,4,male,guarantor,2,real estate,22,none,Own,1,skilled employee,1,None,Yes,1
NA,24,existing credits paid back duly,car (new),7393,little,Professional,1,male,none,4,building society savings agreement/ life insurance,43,none,Own,1,unskilled,2,None,Yes,1
little,24,all credits paid back duly,car (new),1193,little,Unemployed,1,female, co-applicant,4, unknown / no property,29,none,Rent,2,unemployed,1,None,Yes,2
little,60,existing credits paid back duly,business,7297,little,Master,4,male, co-applicant,4, unknown / no property,36,none,Rent,1,skilled employee,1,None,Yes,2
NA,30,critical account,radio/television,2831,little,Professional,4,female,none,2,car or other,33,none,Own,1,skilled employee,1,Yes,Yes,1
Rich,24,existing credits paid back duly,radio/television,1258,Quite Rich,Professional,3,female,none,3,car or other,57,none,Own,1,unskilled,1,None,Yes,1
Moderate,6,existing credits paid back duly,radio/television,753,little,Professional,2,female,guarantor,3,real estate,64,none,Own,1,skilled employee,1,None,Yes,1
Moderate,18,delay in paying off in the past,business,2427,NA,Master,4,male,none,2,building society savings agreement/ life insurance,42,none,Own,2,skilled employee,1,None,Yes,1
NA,24,delay in paying off in the past,car (new),2538,little,Master,4,male,none,4,car or other,47,none,Own,2,unskilled,2,None,Yes,2
Moderate,15,all credits paid back duly,car (new),1264,Moderate,Professional,2,male,none,2,building society savings agreement/ life insurance,25,none,Rent,1,skilled employee,1,None,Yes,2
Moderate,30,critical account,furniture/equipment,8386,little,Expert,2,male,none,2,building society savings agreement/ life insurance,49,none,Own,1,skilled employee,1,None,Yes,2
NA,48,existing credits paid back duly,business,4844,little,Unemployed,3,male,none,2,car or other,33,bank,Rent,1,qualified employee,1,Yes,Yes,2
Rich,21,existing credits paid back duly,car (new),2923,Moderate,Professional,1,female,none,1,car or other,28,bank,Own,1,qualified employee,1,Yes,Yes,1
little,36,existing credits paid back duly,car (used),8229,little,Professional,2,male,none,2,building society savings agreement/ life insurance,26,none,Own,1,skilled employee,2,None,Yes,2
NA,24,critical account,furniture/equipment,2028,little,Expert,2,male,none,2,building society savings agreement/ life insurance,30,none,Own,2,unskilled,1,None,Yes,1
little,15,critical account,furniture/equipment,1433,little,Professional,4,female,none,3,building society savings agreement/ life insurance,25,none,Rent,2,skilled employee,1,None,Yes,1
Rich,42,no credits taken,business,6289,little,amateur,2,male,none,1,building society savings agreement/ life insurance,33,none,Own,2,skilled employee,1,None,Yes,1
NA,13,existing credits paid back duly,radio/television,1409,Moderate,Unemployed,2,female,none,4,real estate,64,none,Own,1,skilled employee,1,None,Yes,1
little,24,existing credits paid back duly,car (used),6579,little,Unemployed,4,male,none,2, unknown / no property,29,none,For Free,1,qualified employee,1,Yes,Yes,1
Moderate,24,critical account,radio/television,1743,little,Master,4,male,none,2,building society savings agreement/ life insurance,48,none,Own,2,unskilled,1,None,Yes,1
NA,12,critical account,education,3565,NA,amateur,2,male,none,1,building society savings agreement/ life insurance,37,none,Own,2,unskilled,2,None,Yes,1
NA,15,all credits paid back duly,radio/television,1569,Moderate,Master,4,male,none,4,car or other,34,bank,Own,1,unskilled,2,None,Yes,1
little,18,existing credits paid back duly,radio/television,1936,NA,Expert,2,male,none,4,car or other,23,none,Rent,2,unskilled,1,None,Yes,1
little,36,existing credits paid back duly,furniture/equipment,3959,little,Unemployed,4,male,none,3,building society savings agreement/ life insurance,30,none,Own,1,qualified employee,1,Yes,Yes,1
NA,12,existing credits paid back duly,car (new),2390,NA,Master,4,male,none,3,car or other,50,none,Own,1,skilled employee,1,Yes,Yes,1
NA,12,existing credits paid back duly,furniture/equipment,1736,little,Expert,3,female,none,4,real estate,31,none,Own,1,unskilled,1,None,Yes,1
little,30,existing credits paid back duly,car (used),3857,little,Professional,4,male,none,4,building society savings agreement/ life insurance,40,none,Own,1,qualified employee,1,Yes,Yes,1
NA,12,existing credits paid back duly,radio/television,804,little,Master,4,male,none,4,car or other,38,none,Own,1,skilled employee,1,None,Yes,1
little,45,existing credits paid back duly,radio/television,1845,little,Professional,4,male,none,4, unknown / no property,23,none,For Free,1,skilled employee,1,Yes,Yes,2
Moderate,45,critical account,car (used),4576,Moderate,Unemployed,3,male,none,4,car or other,27,none,Own,1,skilled employee,1,None,Yes,1
